model,dataset,iteration,auc,metric
M2V_base_glove,gov-ai,7,0.641143426235359,binary_auc
M2V_base_output,gov-ai,0,0.5379500768385039,binary_auc
xlm-roberta-large,gov-ai,4,0.418692557035272,binary_auc
potion-base-2M,gov-ai,9,0.6593751595009226,binary_auc
potion-base-8M,gov-ai,7,0.7130906965609792,binary_auc
bge-m3,gov-ai,3,0.6928284123332551,binary_auc
m2v-dfm-large,gov-ai,4,0.35913498558709994,binary_auc
multilingual-e5-large-instruct,gov-ai,3,0.7868649522973322,binary_auc
LaBSE,gov-ai,3,0.6474028195446345,binary_auc
multilingual-e5-base,gov-ai,7,0.5779494994215622,binary_auc
multilingual-e5-small,gov-ai,5,0.5948893623360341,binary_auc
M2V_base_output,gov-ai,8,0.5510524456388817,binary_auc
text-embedding-ada-002,gov-ai,2,0.7435580821580167,binary_auc
potion-base-4M,gov-ai,5,0.7033285429201155,binary_auc
potion-base-4M,gov-ai,1,0.6855243274411273,binary_auc
Qwen3-Embedding-0.6B,gov-ai,4,0.7935645675727188,binary_auc
multilingual-e5-base,gov-ai,6,0.5823162674611976,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,8,0.6934005664894198,binary_auc
xlm-roberta-large,gov-ai,1,0.3947518124313649,binary_auc
LaBSE,gov-ai,6,0.6536723324841182,binary_auc
potion-base-2M,gov-ai,6,0.6702746414496635,binary_auc
bge-m3,gov-ai,6,0.6920451517114118,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,2,0.7749404115989905,binary_auc
xlm-roberta-large,gov-ai,0,0.38968695659754543,binary_auc
model2vecdk-stem,gov-ai,1,0.5054095326207739,binary_auc
text-embedding-3-small,gov-ai,4,0.7796504847707937,binary_auc
M2V_base_glove,gov-ai,0,0.6201636785601169,binary_auc
mxbai-embed-large-v1,gov-ai,1,0.8223147494093052,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,9,0.7681508071165176,binary_auc
multilingual-e5-large-instruct,gov-ai,0,0.7896159168671933,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,5,0.6887875214833898,binary_auc
M2V_base_glove,gov-ai,6,0.6273204135023853,binary_auc
M2V_base_output,gov-ai,6,0.5232304766939568,binary_auc
bge-m3,gov-ai,4,0.7030755850493672,binary_auc
LaBSE,gov-ai,1,0.6545935130309829,binary_auc
text-embedding-3-small,gov-ai,8,0.7733287053527046,binary_auc
text-embedding-3-small,gov-ai,9,0.7765386077131068,binary_auc
mxbai-embed-large-v1,gov-ai,5,0.8174283943780292,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,9,0.7894493055785449,binary_auc
multilingual-e5-base,gov-ai,4,0.5575470508738183,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,3,0.7700231268076969,binary_auc
nb-sbert-base,gov-ai,4,0.670981905434451,binary_auc
m2v-dfm-large,gov-ai,2,0.3757615754324487,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,3,0.6841882118760082,binary_auc
M2V_base_glove_subword,gov-ai,1,0.6237183153872544,binary_auc
model2vecdk,gov-ai,2,0.5678333547297131,binary_auc
model2vecdk-stem,gov-ai,4,0.5178204715586424,binary_auc
M2V_base_glove,gov-ai,9,0.6441071768363846,binary_auc
bge-m3,gov-ai,1,0.69643407068192,binary_auc
Qwen3-Embedding-0.6B,gov-ai,0,0.788827024966735,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,9,0.8088901693043361,binary_auc
potion-multilingual-128M,gov-ai,1,0.7348203045131458,binary_auc
M2V_base_glove,gov-ai,2,0.6387573555219433,binary_auc
bge-m3,gov-ai,7,0.7029216077725599,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,4,0.8099115009538387,binary_auc
bge-m3,gov-ai,5,0.6927055212917351,binary_auc
potion-base-2M,gov-ai,7,0.6626575076946953,binary_auc
potion-base-4M,gov-ai,6,0.6987501458434662,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,7,0.6818000482866794,binary_auc
potion-base-2M,gov-ai,8,0.6729652021267346,binary_auc
potion-base-4M,gov-ai,3,0.7002358594788036,binary_auc
Qwen3-Embedding-0.6B,gov-ai,9,0.7990871191642591,binary_auc
model2vecdk,gov-ai,7,0.5858524839953514,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,2,0.7900316302946898,binary_auc
text-embedding-ada-002,gov-ai,7,0.7340477969177489,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,5,0.800308785739151,binary_auc
potion-multilingual-128M,gov-ai,0,0.737631894364927,binary_auc
multilingual-e5-base,gov-ai,2,0.5788901255050396,binary_auc
mmBERTscandi-base-embedding,gov-ai,2,0.8566995331420802,binary_auc
M2V_base_glove_subword,gov-ai,2,0.6102385478881277,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,4,0.7675584522068604,binary_auc
potion-base-2M,gov-ai,1,0.6581926098503779,binary_auc
potion-base-8M,gov-ai,3,0.7061348675353616,binary_auc
xlm-roberta-large,gov-ai,6,0.39938729318878646,binary_auc
text-embedding-3-small,gov-ai,5,0.775042774680625,binary_auc
Qwen3-Embedding-0.6B,gov-ai,8,0.7818967703820886,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,1,0.7642362697418771,binary_auc
multilingual-e5-large-instruct,gov-ai,6,0.7934196098205373,binary_auc
Qwen3-Embedding-0.6B,gov-ai,6,0.7982914704633537,binary_auc
model2vecdk,gov-ai,5,0.55848832362062,binary_auc
M2V_base_glove,gov-ai,5,0.6335365569471239,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,8,0.6528253962429784,binary_auc
model2vecdk-stem,gov-ai,0,0.5115174163076354,binary_auc
mmBERTscandi-base-embedding,gov-ai,8,0.8504576050510586,binary_auc
potion-base-4M,gov-ai,8,0.6994540452362452,binary_auc
mmBERTscandi-base-embedding,gov-ai,9,0.84879994443688,binary_auc
model2vecdk,gov-ai,1,0.5699397342775512,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,7,0.7808370545175284,binary_auc
multilingual-e5-base,gov-ai,8,0.5926425172557367,binary_auc
xlm-roberta-base,gov-ai,6,0.40329373432342996,binary_auc
multilingual-e5-large,gov-ai,6,0.5902810999435546,binary_auc
mxbai-embed-large-v1,gov-ai,7,0.812180259228105,binary_auc
xlm-roberta-large,gov-ai,3,0.38953866283740557,binary_auc
m2v-dfm-large,gov-ai,1,0.36736945261363674,binary_auc
model2vecdk-stem,gov-ai,2,0.5114467781697001,binary_auc
xlm-roberta-base,gov-ai,0,0.3896028634656437,binary_auc
xlm-roberta-base,gov-ai,4,0.38651542874143935,binary_auc
text-embedding-ada-002,gov-ai,9,0.7460082711342342,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,0,0.7568396026140896,binary_auc
multilingual-e5-large,gov-ai,0,0.5758397611730167,binary_auc
LaBSE,gov-ai,9,0.6465899365756879,binary_auc
xlm-roberta-large,gov-ai,8,0.3984859459267408,binary_auc
M2V_base_glove,gov-ai,4,0.6307588641008338,binary_auc
