model,dataset,auc_log,auc_linear,experiment
text-embedding-3-large,welfare,0.43073104293488124,0.5087777170582832,policy
model2vecdk-stem,rai,0.2666965933593064,0.31562182880067624,policy
M2V_base_glove_subword,welfare,0.1843047057152269,0.21499566151519922,policy
m2v-dfm-large,rai,0.2976763666056607,0.3568575523975718,policy
multilingual-e5-large,rai,0.29418071785737904,0.35027515145784527,policy
LaBSE,welfare,0.38833552590495385,0.45961143118993186,policy
static-similarity-mrl-multilingual-v1,welfare,0.28571716887824633,0.34412963333973445,policy
dfm-sentence-encoder-large,welfare,0.3044792649358209,0.3584093018633416,policy
snowflake-arctic-embed-l-v2.0,rai,0.3310549324992908,0.3947771944516967,policy
snowflake-arctic-embed-l-v2.0,welfare,0.4205414050594428,0.5028374428166108,policy
model2vecdk,rai,0.2706260482278207,0.3182846764766836,policy
jaccard-binary,rai,-0.04418818411991714,-0.023248716789029567,policy
bge-m3,rai,0.30769620697995076,0.3636841547583349,policy
nb-sbert-base,welfare,0.4277027483194591,0.5074974486920905,policy
LaBSE,rai,0.28107268802155944,0.32975170471120246,policy
bge-m3,welfare,0.39749086781577864,0.4744765676907279,policy
potion-base-8M,rai,0.12304073501333807,0.13937356533306028,policy
multilingual-e5-base,welfare,0.33239102860725617,0.39671166872770025,policy
paraphrase-multilingual-mpnet-base-v2,rai,0.36450878765091016,0.4309666047975081,policy
text-embedding-ada-002,welfare,0.40351485581967905,0.47850027923126826,policy
m2v-dfm-large,welfare,0.33932186314827395,0.40531477042274505,policy
potion-base-2M,welfare,0.16237358268128435,0.1898025726859343,policy
mmBERTscandi-base-embedding,rai,0.2825963938156468,0.3303947224854134,policy
multilingual-e5-base,rai,0.2836418701268109,0.3370217439043227,policy
tfidf-char35,rai,0.21697071062560047,0.2641759324850404,policy
text-embedding-ada-002,rai,0.3280676237810581,0.3881164262938974,policy
paraphrase-multilingual-mpnet-base-v2,welfare,0.47777543245622345,0.5655364531078952,policy
text-embedding-3-small,rai,0.29682111665351335,0.3486281323320048,policy
M2V_base_glove,rai,0.03873364420815641,0.0517347086304292,policy
M2V_base_glove_subword,rai,0.12527106785845543,0.14165690753384297,policy
potion-base-2M,rai,0.11792234272579272,0.132722129834171,policy
Qwen3-Embedding-0.6B,welfare,0.23735037173840726,0.2923045306592032,policy
paraphrase-multilingual-MiniLM-L12-v2,rai,0.3112005476553075,0.3663464133015706,policy
xlm-roberta-base,welfare,0.06974788377155175,0.07692933723676475,policy
paraphrase-multilingual-MiniLM-L12-v2,welfare,0.45316716971664406,0.5376307921155803,policy
potion-multilingual-128M,rai,0.24220497092545115,0.2856295739576578,policy
potion-multilingual-128M,welfare,0.35983870116684663,0.4247096513186499,policy
xlm-roberta-large,rai,0.1332979526954812,0.1460887181943002,policy
potion-base-4M,rai,0.11679218796186978,0.13163176826145567,policy
model2vecdk,welfare,0.33975863734705536,0.3975747232970837,policy
model2vecdk-stem,welfare,0.29122667630377364,0.347571661356123,policy
multilingual-e5-small,welfare,0.32176245387720676,0.38486542462282114,policy
potion-base-8M,welfare,0.19757709058935852,0.23215341241788245,policy
Qwen3-Embedding-0.6B,rai,0.15992663625112472,0.19643960603068697,policy
static-similarity-mrl-multilingual-v1,rai,0.21491728687403347,0.26049270967067145,policy
dfm-sentence-encoder-large,rai,0.26320342643369926,0.3067525567952506,policy
