model,v_measure,adjusted_rand_index
M2V_base_output,0.5351258900183402,0.08093083027847843
potion-base-4M,0.5815069846586773,0.11730309841457563
model2vecdk-stem,0.5554354880874505,0.112955891343393
M2V_base_glove_subword,0.524702147384302,0.06429609278074763
snowflake-arctic-embed-l-v2.0,0.6038391455415135,0.1576707714118691
potion-base-8M,0.5859524461380666,0.128426959471669
paraphrase-multilingual-mpnet-base-v2,0.5876030651687298,0.13583576103121772
text-embedding-ada-002,0.6209458615248682,0.19409812317269506
paraphrase-multilingual-MiniLM-L12-v2,0.5825799724877244,0.13346814569636925
model2vecdk,0.5348673611187282,0.07927285765421242
jaccard-binary,0.48423697712768193,0.03212895150769183
potion-base-2M,0.5913289028952232,0.1372814429782486
multilingual-e5-large,0.5878247767945385,0.1435655988161047
multilingual-e5-large-instruct,0.6162077496198066,0.1903478295704232
nb-sbert-base,0.6039959292546961,0.16128568554533929
M2V_base_glove,0.5213457154779234,0.06118711193241334
m2v-dfm-large,0.5569099525111527,0.10521049177656658
Human,0.6125694383362725,0.15894032261456056
Qwen3-Embedding-0.6B,0.5871955623597712,0.14642593681329413
text-embedding-3-small,0.6220254804375491,0.1953902227556093
tfidf-char35,0.5783912044247729,0.1032927641269408
static-similarity-mrl-multilingual-v1,0.49451465890979224,0.037848830405278144
EmbeddingGemma-Scandi-300m,0.6215203697408582,0.18832834695799683
potion-multilingual-128M,0.5708067112034529,0.10335862306517767
dfm-sentence-encoder-large,0.5867212643999951,0.15731253484457883
Qwen3-Embedding-Scandi-0.6B,0.6108217375007617,0.17357194647103583
mxbai-embed-large-v1,0.6067483794411246,0.16659807900864979
LaBSE,0.5791143790327068,0.1149900946883105
xlm-roberta-base,0.5395027188713238,0.07476257430102337
xlm-roberta-large,0.5320128222201518,0.06821606614781255
multilingual-e5-small,0.5834617949039599,0.11864746518565772
text-embedding-3-large,0.6234826894671834,0.1912324812191172
multilingual-e5-base,0.6134825380127944,0.17373338328626692
bge-m3,0.6099879595238994,0.16763968006966837
mmBERTscandi-base-embedding,0.6116098688074887,0.17432241021682
