model,v_measure,adjusted_rand_index
potion-base-4M,0.5370375799735347,0.03645339985258536
snowflake-arctic-embed-l-v2.0,0.6562127204632867,0.2136435611777791
Human,0.7257282959475289,0.3290894817203868
m2v-dfm-large,0.6437459528589707,0.18711708182388498
multilingual-e5-base,0.6216882853419019,0.15002009545079129
multilingual-e5-large-instruct,0.6882083146395982,0.2738545376643198
text-embedding-ada-002,0.6378428611934862,0.18466633631337329
tfidf-char35,0.6639028458756803,0.21742814890756842
M2V_base_glove,0.5115782042416864,0.01964758238677579
M2V_base_output,0.5163799801376994,0.025855467267326314
multilingual-e5-small,0.621389325773277,0.14590715319232977
potion-base-2M,0.5371308005064996,0.03662269091578126
mxbai-embed-large-v1,0.5770398197031925,0.06831732616913756
xlm-roberta-base,0.5552612458818497,0.05790801614415028
LaBSE,0.649829623669466,0.200952918146267
paraphrase-multilingual-MiniLM-L12-v2,0.621815375257904,0.15694376709445312
xlm-roberta-large,0.52408560237525,0.025587772391654152
static-similarity-mrl-multilingual-v1,0.5211750841915472,0.04152888577759505
Qwen3-Embedding-Scandi-0.6B,0.6316922163637256,0.15573780101597315
nb-sbert-base,0.6371010564927932,0.1776368944616437
mmBERTscandi-base-embedding,0.6099637694313786,0.13447294560703504
bge-m3,0.6433357472577255,0.19614798869479264
text-embedding-3-small,0.6259685474790002,0.15363710443581224
multilingual-e5-large,0.6342040737777963,0.16714262557710868
potion-multilingual-128M,0.6406906545886439,0.18652194193589336
M2V_base_glove_subword,0.5196858084582896,0.03540726056725865
model2vecdk,0.6387634492733962,0.17663411601458923
potion-base-8M,0.545787478774351,0.05042562538573672
EmbeddingGemma-Scandi-300m,0.6836785227524667,0.2600459283072359
dfm-sentence-encoder-large,0.5761846132648639,0.10607927136161044
Qwen3-Embedding-0.6B,0.5933163770540116,0.1113994125973962
text-embedding-3-large,0.6696862394919056,0.2316722652162295
model2vecdk-stem,0.6358892084189987,0.16813756748923026
paraphrase-multilingual-mpnet-base-v2,0.6542723858473176,0.2023276917333383
jaccard-binary,0.4949650854359251,0.01366813307951641
