model,v_measure,adjusted_rand_index
text-embedding-3-small,0.417358147898552,0.1095919772415173
xlm-roberta-large,0.22857570744611352,0.015730418500864533
model2vecdk-stem,0.4536086631313437,0.12479943293437372
EmbeddingGemma-Scandi-300m,0.5322985787724313,0.17474588586606127
potion-base-8M,0.20048224673435938,0.01544369322917529
multilingual-e5-large,0.3172102018381229,0.05849271611097189
multilingual-e5-large-instruct,0.48419542036822383,0.1693903584707335
potion-multilingual-128M,0.49296524614610876,0.14944848600807376
bge-m3,0.414104499189778,0.09915037925349779
Qwen3-Embedding-0.6B,0.5138301846070779,0.102727203705233
potion-base-4M,0.19914687137200218,0.01389458243054975
Human,0.7257282959475289,0.3290894817203869
model2vecdk,0.43119903405254695,0.10953736989882673
text-embedding-ada-002,0.3961127570905196,0.11855910450852492
jaccard-binary,0.2081342542617268,-0.001710247468364504
paraphrase-multilingual-MiniLM-L12-v2,0.3498297504067054,0.07402483751540631
paraphrase-multilingual-mpnet-base-v2,0.5043721577908848,0.15322917491941143
multilingual-e5-small,0.37229600478562164,0.08253869724443477
multilingual-e5-base,0.36007162510958574,0.0676491877991809
mxbai-embed-large-v1,0.3089366488951536,0.039027329618538525
M2V_base_output,0.16976572404359194,0.002489707269024502
static-similarity-mrl-multilingual-v1,0.172489642290522,0.006544648268566153
mmBERTscandi-base-embedding,0.27527631348664044,0.04911983787527704
M2V_base_glove,0.18031806342318732,0.005996424830039125
dfm-sentence-encoder-large,0.23706617424892068,0.03256381977683535
potion-base-2M,0.21406203855435924,0.017455658636038728
text-embedding-3-large,0.46513631131777666,0.16057917711231817
snowflake-arctic-embed-l-v2.0,0.4399181053625984,0.125208414393285
LaBSE,0.4577477893601811,0.14661304346033574
Qwen3-Embedding-Scandi-0.6B,0.2977883957609414,0.0527223784746367
tfidf-char35,0.6608237343457549,0.2127590542443063
M2V_base_glove_subword,0.1600468671479821,0.00518248062684269
m2v-dfm-large,0.5030399551888721,0.14531539207988908
nb-sbert-base,0.4380420976518422,0.12206507679791588
xlm-roberta-base,0.2300873476490234,0.02434664930313723
