model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
multilingual-e5-large,gov-ai,Easy ($d$: top 20%),Mean,0.5201069402064581,0.4622587708131778,0.5675133314622508
multilingual-e5-base,gov-ai,Easy ($d$: top 20%),Mean,0.509675570861606,0.45237539667724475,0.5704935596042706
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,Hard ($d$: bottom 20%),Mean,0.07336775691209746,0.009275548277084584,0.12737161462187355
potion-base-2M,gov-ai,Hard ($d$: bottom 20%),Mean,0.09912002984725797,0.040490537906613736,0.1602268129330907
multilingual-e5-large-instruct,gov-ai,Hard ($d$: bottom 20%),Mean,0.09652496038284605,0.04072190878905986,0.16203252815330305
text-embedding-3-large,gov-ai,Hard ($d$: bottom 20%),Mean,0.055126938688653045,0.005730355310064678,0.11218659960934148
dfm-sentence-encoder-large,gov-ai,Hard ($d$: bottom 20%),Mean,0.07441041791012108,0.025705070550020893,0.13592877822694638
xlm-roberta-large,gov-ai,Easy ($d$: top 20%),Mean,0.4012414895270624,0.35594912109805227,0.45383362798920635
multilingual-e5-large,gov-ai,Hard ($d$: bottom 20%),Mean,0.012899127710107929,-0.03096667548267653,0.0692202835332606
bge-m3,gov-ai,Hard ($d$: bottom 20%),Mean,0.1332526161060939,0.06890720982864533,0.1855635408263799
text-embedding-ada-002,gov-ai,Hard ($d$: bottom 20%),Mean,0.08571398766874258,-0.001045690061234119,0.14120656935006173
paraphrase-multilingual-mpnet-base-v2,gov-ai,Easy ($d$: top 20%),Mean,0.7823310500966378,0.7513834473765987,0.8264224027635619
snowflake-arctic-embed-l-v2.0,gov-ai,Hard ($d$: bottom 20%),Mean,0.06842387947047929,0.008172192811368051,0.13577160141419997
text-embedding-ada-002,gov-ai,Easy ($d$: top 20%),Mean,0.6711019158141103,0.6340919354838709,0.7115446813667544
static-similarity-mrl-multilingual-v1,gov-ai,Easy ($d$: top 20%),Mean,0.5174150905407321,0.4632260261288761,0.5612364684250946
multilingual-e5-large-instruct,gov-ai,Easy ($d$: top 20%),Mean,0.7139309537295848,0.6766424927035903,0.7508824093438602
xlm-roberta-base,gov-ai,Hard ($d$: bottom 20%),Mean,0.06309300324587058,0.01521540049639356,0.11634454699836361
mmBERTscandi-base-embedding,gov-ai,Easy ($d$: top 20%),Mean,0.8387214557214083,0.8015517241379311,0.8655839432148841
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,Easy ($d$: top 20%),Mean,0.5855668907697005,0.5322209467159863,0.6296778246432739
text-embedding-3-small,gov-ai,Easy ($d$: top 20%),Mean,0.6889634930259271,0.6504314159292035,0.7276607452532349
potion-base-8M,gov-ai,Easy ($d$: top 20%),Mean,0.6313702725368123,0.5870135276773732,0.6845118506463138
LaBSE,gov-ai,Hard ($d$: bottom 20%),Mean,0.046921570343909515,-0.006536614645858332,0.09628001688037398
Qwen3-Embedding-Scandi-0.6B,gov-ai,Easy ($d$: top 20%),Mean,0.6765052547539797,0.6394520390048214,0.7162937993816557
static-similarity-mrl-multilingual-v1,gov-ai,Hard ($d$: bottom 20%),Mean,0.042717870813713574,-0.008277991231720641,0.08508096268970558
Human,gov-ai,Easy ($d$: top 20%),Mean,1.0,1.0,1.0
nb-sbert-base,gov-ai,Easy ($d$: top 20%),Mean,0.6339920784816564,0.5875443170687966,0.6776722170951688
Qwen3-Embedding-0.6B,gov-ai,Hard ($d$: bottom 20%),Mean,0.07807201866980112,0.010233787506514748,0.12861611760769992
Qwen3-Embedding-0.6B,gov-ai,Easy ($d$: top 20%),Mean,0.7068104689152378,0.6699617378231797,0.7446499806629043
mxbai-embed-large-v1,gov-ai,Easy ($d$: top 20%),Mean,0.7485808857054296,0.6987426196114116,0.7863032893856245
model2vecdk,gov-ai,Hard ($d$: bottom 20%),Mean,0.0979113274949574,0.03835828427249796,0.16281098180996492
dfm-sentence-encoder-large,gov-ai,Easy ($d$: top 20%),Mean,0.6134470374222148,0.5650240788115216,0.6617230772995556
paraphrase-multilingual-mpnet-base-v2,gov-ai,Hard ($d$: bottom 20%),Mean,0.10851528769887916,0.05217944826655878,0.17365569658854155
model2vecdk,gov-ai,Easy ($d$: top 20%),Mean,0.49339139555171796,0.43909232806735404,0.5361878713769446
multilingual-e5-small,gov-ai,Easy ($d$: top 20%),Mean,0.4868526611536749,0.4356820718401932,0.526217285257072
m2v-dfm-large,gov-ai,Easy ($d$: top 20%),Mean,0.39880040662742416,0.35162960910066743,0.4450274725274725
Qwen3-Embedding-Scandi-0.6B,gov-ai,Hard ($d$: bottom 20%),Mean,0.04386179945020402,-0.02441426645422234,0.1054358482193534
xlm-roberta-base,gov-ai,Easy ($d$: top 20%),Mean,0.3432352579252331,0.29489268672742003,0.38570611427227447
M2V_base_glove_subword,gov-ai,Easy ($d$: top 20%),Mean,0.5049020402161126,0.452585663166069,0.5601502615389677
EmbeddingGemma-Scandi-300m,gov-ai,Easy ($d$: top 20%),Mean,0.7515079801915363,0.7124822306131147,0.7855593056894888
model2vecdk-stem,gov-ai,Hard ($d$: bottom 20%),Mean,0.0647075385169036,-0.002532225171029079,0.12331036310628156
text-embedding-3-small,gov-ai,Hard ($d$: bottom 20%),Mean,0.058220492581902164,0.00220416032589158,0.10435810810810804
mmBERTscandi-base-embedding,gov-ai,Hard ($d$: bottom 20%),Mean,0.1132286666939627,0.06428014598201695,0.15298286098040856
mxbai-embed-large-v1,gov-ai,Hard ($d$: bottom 20%),Mean,0.05515401297165393,0.008584411965070832,0.10923477157360413
M2V_base_glove,gov-ai,Easy ($d$: top 20%),Mean,0.6170018924719443,0.5799888931059118,0.659308719193428
M2V_base_glove,gov-ai,Hard ($d$: bottom 20%),Mean,0.10068277926438782,0.0403916254408597,0.15860655737704918
model2vecdk-stem,gov-ai,Easy ($d$: top 20%),Mean,0.4494883748479658,0.4029717835070853,0.49622712232936284
M2V_base_output,gov-ai,Hard ($d$: bottom 20%),Mean,0.0898268317925787,0.03684754372799174,0.1421945304437564
xlm-roberta-large,gov-ai,Hard ($d$: bottom 20%),Mean,0.056204792243436434,0.00568332825267915,0.11750714356094197
M2V_base_glove_subword,gov-ai,Hard ($d$: bottom 20%),Mean,0.11467888309267318,0.0706564685499376,0.17070981005498667
bge-m3,gov-ai,Easy ($d$: top 20%),Mean,0.6158850832509293,0.5746479472194209,0.6604095836776454
multilingual-e5-small,gov-ai,Hard ($d$: bottom 20%),Mean,-0.008723024911180446,-0.07706179196704425,0.05945099594888628
potion-base-4M,gov-ai,Hard ($d$: bottom 20%),Mean,0.07699963514776818,0.021534820516562005,0.1381028474159725
nb-sbert-base,gov-ai,Hard ($d$: bottom 20%),Mean,0.04049626308680618,-0.03833877173477472,0.09890780938123753
potion-multilingual-128M,gov-ai,Easy ($d$: top 20%),Mean,0.6289123686555953,0.5817972859782063,0.6662993796931114
potion-base-4M,gov-ai,Easy ($d$: top 20%),Mean,0.5987054298093144,0.5535816618911175,0.6555532198858914
multilingual-e5-base,gov-ai,Hard ($d$: bottom 20%),Mean,0.0007219144952974465,-0.04455073696145122,0.06522113253807345
text-embedding-3-large,gov-ai,Easy ($d$: top 20%),Mean,0.6744011376918684,0.6254573766828668,0.714951923076923
M2V_base_output,gov-ai,Easy ($d$: top 20%),Mean,0.45227115412376223,0.4034737963427127,0.4949997203746594
potion-multilingual-128M,gov-ai,Hard ($d$: bottom 20%),Mean,0.026549219828831978,-0.027216350000930443,0.07999477927457595
m2v-dfm-large,gov-ai,Hard ($d$: bottom 20%),Mean,0.014189775387462461,-0.042400861373123294,0.0614534385724345
potion-base-8M,gov-ai,Hard ($d$: bottom 20%),Mean,0.1123818204621947,0.056711017740429526,0.1747095259183293
snowflake-arctic-embed-l-v2.0,gov-ai,Easy ($d$: top 20%),Mean,0.5755883298972754,0.5302910994824855,0.6074294165612021
LaBSE,gov-ai,Easy ($d$: top 20%),Mean,0.5751741407101142,0.52827517223218,0.6133939607215511
potion-base-2M,gov-ai,Easy ($d$: top 20%),Mean,0.5682543434344894,0.5122850420605222,0.6041588239545883
Human,gov-ai,Hard ($d$: bottom 20%),Mean,0.7053234525441117,0.5659848369689139,0.8389020136356429
EmbeddingGemma-Scandi-300m,gov-ai,Hard ($d$: bottom 20%),Mean,0.10529509980145522,0.049947547011535795,0.17367346938775519
