model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
Qwen3-Embedding-0.6B,rai,Hard ($d$: bottom 20%),Best,-0.002647394366315745,-0.008380970459664341,0.004538525077792565
model2vecdk,rai,Easy ($d$: top 20%),Best,0.32091658491930714,0.29855997064835643,0.35653555446277196
text-embedding-ada-002,rai,Hard ($d$: bottom 20%),Mean,0.015863117691469076,-0.0008244234807921645,0.029968723631920133
EmbeddingGemma-Scandi-300m,rai,Hard ($d$: bottom 20%),Worst,-0.012495854744267678,-0.05869295029991681,0.015175955885498688
multilingual-e5-base,rai,Hard ($d$: bottom 20%),Mean,0.005336652704946246,-0.007295413919320975,0.020158257391787858
nb-sbert-base,rai,Hard ($d$: bottom 20%),Worst,-0.0055889788587874965,-0.038628506951678424,0.020250757931759546
nb-sbert-base,rai,Easy ($d$: top 20%),Worst,0.3191659002538787,0.3016835994359405,0.3307330315883495
m2v-dfm-large,welfare,Hard ($d$: bottom 20%),Worst,0.012290540682369993,0.0010823882856259627,0.02361451085249868
xlm-roberta-base,welfare,Hard ($d$: bottom 20%),Mean,0.011843123473288943,0.005167697867392064,0.019906050573298972
Qwen3-Embedding-Scandi-0.6B,rai,Hard ($d$: bottom 20%),Worst,0.0027578000868441776,-0.017295141584203633,0.013777230829568726
potion-multilingual-128M,welfare,Easy ($d$: top 20%),Mean,0.36928321691679045,0.360988563929322,0.3758359103192331
Qwen3-Embedding-Scandi-0.6B,rai,Easy ($d$: top 20%),Worst,0.26856166467146647,0.2601633175765418,0.2770903967046355
xlm-roberta-base,welfare,Easy ($d$: top 20%),Worst,0.044813844649222515,0.029146134279649044,0.058660127729056925
potion-base-2M,rai,Easy ($d$: top 20%),Mean,0.1387981861308546,0.12410210707697386,0.15727660048653888
xlm-roberta-large,welfare,Easy ($d$: top 20%),Worst,0.08191082372049482,0.06159170956834574,0.10379940384027643
EmbeddingGemma-Scandi-300m,rai,Easy ($d$: top 20%),Best,0.331438574733057,0.3108112469272366,0.3588141891891893
