dataset,seed,v_measure,adjusted_rand_index
rai,29,0.760455619961157,0.32923832923832924
rai,18,0.7230393170015362,0.27411167512690354
rai,0,0.7388217991585344,0.2596071733561059
rai,12,0.6736044356928045,0.13802435723951287
rai,19,1.0,1.0
rai,28,0.8272123754554452,0.5295698924731183
rai,6,0.6831290963684009,0.2920353982300885
rai,9,0.6442629987105061,0.2119205298013245
rai,17,0.6468954558707104,0.12077294685990338
welfare,4,0.6952366929980096,0.40273037542662116
rai,16,0.8306373732045723,0.541029207232267
rai,22,0.71190936734003,0.2761363636363636
rai,21,0.7460188568798104,0.29362880886426596
welfare,5,0.7623123004012292,0.400912894636744
rai,15,0.6599975789869145,0.1210560206052801
welfare,6,0.7359776887630423,0.4246575342465753
rai,5,0.616621807377607,0.07766990291262135
rai,7,0.7523427939029065,0.2152917505030181
rai,4,0.5713779031529201,0.1446028513238289
rai,1,0.7119093673400302,0.28346456692913385
rai,24,0.6856973738996524,0.15422885572139303
rai,20,0.9263654804492173,0.782016348773842
rai,2,0.5414596138875274,0.14925373134328357
rai,25,0.7705409312067533,0.451741861793261
rai,14,0.73156365116129,0.25287356321839083
rai,27,0.46062089248243726,-0.021621621621621623
rai,13,0.734387489230337,0.3556851311953353
welfare,3,0.5729173111382572,0.056016597510373446
rai,26,0.6014791838557418,0.05161290322580645
welfare,27,0.7516195432176113,0.2765598650927487
welfare,9,0.7629717993922785,0.4265402843601896
welfare,10,0.7286990302877822,0.21875
welfare,12,0.7850328793602248,0.47739602169981915
welfare,7,0.9594552103732618,0.8609625668449198
rai,3,0.8959171396549679,0.6896551724137931
