,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Retrieval
0,1,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),92%,13.214,13.99,5120.0,40960.0,71.1,69.71,74.32,77.15,52.16,75.2
1,2,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),92%,6.947,7.568,4096.0,40960.0,69.94,68.49,71.94,75.48,52.46,74.05
2,3,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),92%,3.634,4.022,2560.0,40960.0,68.46,67.34,72.2,73.85,50.67,72.64
3,4,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),92%,1.41,1.721,2048.0,40960.0,67.21,66.32,72.21,72.63,49.63,70.79
4,5,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),100%,6.98,7.111,4096.0,32768.0,65.56,65.67,71.9,68.21,52.95,69.62
5,6,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),100%,,,3072.0,2048.0,,,72.55,72.36,,77.2
6,7,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),100%,7.109,7.24,4096.0,32768.0,64.08,65.35,76.93,66.75,51.22,66.49
7,8,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),100%,3.634,4.022,2560.0,32768.0,,,82.19,72.91,,68.4
8,9,[saga-embed_v1](https://huggingface.co/nicher92/saga-embed_v1),100%,0.353,0.404,1024.0,512.0,63.48,62.15,64.65,67.46,44.22,72.27
9,10,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),100%,6.98,7.111,4096.0,32768.0,62.01,63.36,75.19,64.93,51.41,61.91
10,11,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),100%,6.98,7.111,4096.0,32768.0,,,74.65,66.73,49.71,
11,12,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),92%,0.441,0.596,1024.0,40960.0,64.32,63.44,69.14,69.63,47.45,67.54
12,13,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,,,71.79,70.78,49.74,
13,14,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),100%,13.0,57.92,32768.0,32768.0,,,71.42,66.67,47.53,
14,15,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,62.51,62.44,68.78,64.79,42.8,73.38
15,16,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,62.22,61.34,64.34,65.26,45.29,70.47
16,17,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),100%,6.98,7.111,4096.0,32768.0,,,71.61,65.14,50.97,
17,18,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),100%,0.304,0.56,1024.0,514.0,61.62,63.01,74.46,63.86,49.83,63.88
18,19,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,61.61,61.93,68.06,62.28,42.45,74.95
19,20,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,,,1024.0,32000.0,61.22,61.53,67.58,61.88,42.1,74.56
20,21,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),100%,0.44,0.596,1024.0,32768.0,60.99,61.99,73.45,64.56,48.11,61.85
21,22,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),92%,0.198,0.334,896.0,40960.0,61.93,61.91,69.69,65.94,46.56,65.44
22,23,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,60.79,61.31,67.55,60.94,42.64,74.12
23,24,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,60.45,61.14,67.69,60.25,42.5,74.13
24,25,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),100%,6.946,7.567,4096.0,32768.0,,,84.65,74.83,,
25,26,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,,,66.82,63.87,46.75,
26,27,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),100%,0.304,0.56,1024.0,514.0,,,69.1,,41.83,64.53
27,28,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,59.7,59.14,62.29,61.75,43.31,69.21
28,29,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,66.3,63.65,42.33,
29,30,[bge-m3](https://huggingface.co/BAAI/bge-m3),100%,0.312,0.568,1024.0,8194.0,57.9,58.45,69.28,61.66,38.8,64.04
