dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,7,EmbeddingGemma-Scandi-300m,0.7025689719623038,0.37247240297412076
gov-ai,7,LaBSE,0.6424973781919878,0.2969912821963952
gov-ai,7,M2V_base_glove,0.6391323035324765,0.26920809153801895
gov-ai,7,M2V_base_glove_subword,0.6391323035324765,0.26920809153801895
gov-ai,7,M2V_base_output,0.44903829258806505,0.0009257998903747735
gov-ai,7,Qwen3-Embedding-0.6B,0.7546559066043915,0.4701015428424774
gov-ai,7,Qwen3-Embedding-Scandi-0.6B,0.7984413928745655,0.567352591035754
gov-ai,7,bge-m3,0.6263440454886104,0.256962412199857
gov-ai,7,dfm-sentence-encoder-large,0.7049373285353226,0.45921633326326083
gov-ai,7,m2v-dfm-large,0.518966228513259,0.08520905549748756
gov-ai,7,mmBERTscandi-base-embedding,0.690037932198199,0.33633260948722643
gov-ai,7,model2vecdk,0.6709634708646959,0.30533353814381486
gov-ai,7,model2vecdk-stem,0.7428565023893523,0.4307416812507819
gov-ai,7,multilingual-e5-base,0.6739230669780574,0.36506483311105264
gov-ai,7,multilingual-e5-large,0.6344231824312783,0.27874483967360814
gov-ai,7,multilingual-e5-large-instruct,0.6388750852527154,0.2931022056867513
gov-ai,7,multilingual-e5-small,0.6720045372177735,0.2969912821963952
gov-ai,7,mxbai-embed-large-v1,0.7372535974260181,0.43524610356433
gov-ai,7,nb-sbert-base,0.620141543475818,0.2564206179074964
gov-ai,7,paraphrase-multilingual-MiniLM-L12-v2,0.6568381779879582,0.30019281600033204
gov-ai,7,paraphrase-multilingual-mpnet-base-v2,0.6263440454886104,0.256962412199857
gov-ai,7,potion-base-2M,0.6541325562770652,0.3072834263139127
gov-ai,7,potion-base-4M,0.5932936278817493,0.20979913326266064
gov-ai,7,potion-base-8M,0.6769951662619009,0.3653350530882603
gov-ai,7,potion-multilingual-128M,0.6372730242727883,0.27330223488399985
gov-ai,7,snowflake-arctic-embed-l-v2.0,0.617213108595162,0.2613553426520951
gov-ai,7,static-similarity-mrl-multilingual-v1,0.6389299243584656,0.35162907268170424
gov-ai,7,text-embedding-3-large,0.7984413928745655,0.567352591035754
gov-ai,7,text-embedding-3-small,0.7328312850211738,0.45921633326326083
gov-ai,7,text-embedding-ada-002,0.7025689719623041,0.37247240297412076
gov-ai,7,xlm-roberta-base,0.6418610881811141,0.3470676691729323
gov-ai,7,xlm-roberta-large,0.5604958975554931,0.16500495113541577
gov-ai,2,EmbeddingGemma-Scandi-300m,0.5872872259979123,0.1537165239570049
gov-ai,2,LaBSE,0.47343346952098575,0.037690376597452876
gov-ai,2,M2V_base_glove,0.5145455571834988,0.09009888504287628
gov-ai,2,M2V_base_glove_subword,0.49745967671693603,0.06177260414720717
gov-ai,2,M2V_base_output,0.5600896285121076,0.20413174890637892
gov-ai,2,Qwen3-Embedding-0.6B,0.6306157615572884,0.28452696829565854
gov-ai,2,Qwen3-Embedding-Scandi-0.6B,0.5737078093226469,0.15167022356401114
gov-ai,2,bge-m3,0.5773866629267334,0.14871443923927896
gov-ai,2,dfm-sentence-encoder-large,0.6659004731352665,0.38030067659354433
gov-ai,2,m2v-dfm-large,0.5137937585528276,0.14401930241661653
gov-ai,2,mmBERTscandi-base-embedding,0.5956406442891082,0.18131392655440753
gov-ai,2,model2vecdk,0.5442568850033059,0.18296378672208435
gov-ai,2,model2vecdk-stem,0.5442568850033059,0.18296378672208435
gov-ai,2,multilingual-e5-base,0.5549710304237372,0.12268074858077974
gov-ai,2,multilingual-e5-large,0.5421563548126624,0.12350111160203672
gov-ai,2,multilingual-e5-large-instruct,0.601352924977592,0.1930142755472903
gov-ai,2,multilingual-e5-small,0.50050344138236,0.037690376597452876
gov-ai,2,mxbai-embed-large-v1,0.5878846634457001,0.1700459912372344
gov-ai,2,nb-sbert-base,0.5533316445334631,0.13265195380578768
gov-ai,2,paraphrase-multilingual-MiniLM-L12-v2,0.53859422732016,0.11470221693386774
