dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,17,EmbeddingGemma-Scandi-300m,0.45400978921188384,0.1399819729999261
gov-ai,17,LaBSE,0.15145548569932124,-0.018201935163787066
gov-ai,17,M2V_base_glove,0.19464634318970359,0.002728568256100534
gov-ai,17,M2V_base_glove_subword,0.19500742309726316,-0.006586814035854691
gov-ai,17,M2V_base_output,0.14900277728269823,-0.016993009470117563
gov-ai,17,Qwen3-Embedding-0.6B,0.318562146232355,0.07373659738505346
gov-ai,17,Qwen3-Embedding-Scandi-0.6B,0.28616152013492224,0.06876064790767017
gov-ai,17,bge-m3,0.3545608212878712,0.09232683417961751
gov-ai,17,dfm-sentence-encoder-large,0.09485186622162925,-0.008975496046792262
gov-ai,17,jaccard-binary,0.10374553738975456,-0.0008819708669361487
gov-ai,17,m2v-dfm-large,0.13947895029355553,-0.022995554231332916
gov-ai,17,mmBERTscandi-base-embedding,0.41825277719173765,0.06389231583976995
gov-ai,17,model2vecdk,0.10146731880830233,-0.009287070801653818
gov-ai,17,model2vecdk-stem,0.414328766739796,0.04179228121560237
gov-ai,17,multilingual-e5-base,0.6908630023311846,0.12330509951549375
gov-ai,17,multilingual-e5-large,0.4814815125319428,0.01600985221674877
gov-ai,17,multilingual-e5-large-instruct,0.3545608212878712,0.09232683417961751
gov-ai,17,multilingual-e5-small,0.6670111330587347,0.1800960676575195
gov-ai,17,mxbai-embed-large-v1,0.3545608212878712,0.09232683417961751
gov-ai,17,nb-sbert-base,0.2651610527217694,0.04791347450584938
gov-ai,17,paraphrase-multilingual-MiniLM-L12-v2,0.2651610527217694,0.04791347450584938
gov-ai,17,paraphrase-multilingual-mpnet-base-v2,0.2651610527217694,0.04791347450584938
gov-ai,17,potion-base-2M,0.21733065951944608,0.019429008359023565
gov-ai,17,potion-base-4M,0.21733065951944608,0.019429008359023565
gov-ai,17,potion-base-8M,0.2651610527217694,0.04791347450584938
gov-ai,17,potion-multilingual-128M,0.2651610527217694,0.04791347450584938
gov-ai,17,snowflake-arctic-embed-l-v2.0,0.28563140363229506,0.04109543681045526
gov-ai,17,static-similarity-mrl-multilingual-v1,0.09485186622162925,-0.008975496046792262
gov-ai,17,text-embedding-3-large,0.2651610527217694,0.04791347450584938
gov-ai,17,text-embedding-3-small,0.3545608212878712,0.09232683417961751
gov-ai,17,text-embedding-ada-002,0.3327277777762639,0.09559171636641937
gov-ai,17,tfidf-char35,0.6626915216839802,0.14863244657958258
gov-ai,17,xlm-roberta-base,0.09485186622162925,-0.008975496046792262
gov-ai,17,xlm-roberta-large,0.20642343432131255,0.03377365904064951
gov-ai,2,EmbeddingGemma-Scandi-300m,0.5558986087348483,0.15128938289503713
gov-ai,2,LaBSE,0.18200219726188738,-0.00323786125161654
gov-ai,2,M2V_base_glove,0.24762354040967918,0.033130312627924464
gov-ai,2,M2V_base_glove_subword,0.24762354040967918,0.033130312627924464
gov-ai,2,M2V_base_output,0.11339236660589982,0.009458537245977732
gov-ai,2,Qwen3-Embedding-0.6B,0.45431554151407244,0.18374783620712115
gov-ai,2,Qwen3-Embedding-Scandi-0.6B,0.551621608237949,0.16058863722485955
gov-ai,2,bge-m3,0.43359398312087727,0.09143123955344246
gov-ai,2,dfm-sentence-encoder-large,0.16788121122561722,0.0147453090230218
gov-ai,2,jaccard-binary,0.11339236660589982,0.009458537245977732
gov-ai,2,m2v-dfm-large,0.11339236660589982,0.009458537245977732
gov-ai,2,mmBERTscandi-base-embedding,0.5398775397222811,0.12312221282248575
gov-ai,2,model2vecdk,0.11339236660589982,0.009458537245977732
gov-ai,2,model2vecdk-stem,0.2128454250339522,0.04200808417683298
gov-ai,2,multilingual-e5-base,0.4463105065269157,0.10231705136968294
gov-ai,2,multilingual-e5-large,0.6614878254436112,0.19205084550549378
gov-ai,2,multilingual-e5-large-instruct,0.6742710134213129,0.18840397362199718
gov-ai,2,multilingual-e5-small,0.50050344138236,0.037690376597452876
gov-ai,2,mxbai-embed-large-v1,0.45431554151407244,0.18374783620712115
gov-ai,2,nb-sbert-base,0.5582486950836685,0.05609756097560976
gov-ai,2,paraphrase-multilingual-MiniLM-L12-v2,0.5066940884093794,0.10821994105195476
gov-ai,2,paraphrase-multilingual-mpnet-base-v2,0.45431554151407244,0.18374783620712115
gov-ai,2,potion-base-2M,0.2452975528897548,0.015623279006526276
gov-ai,2,potion-base-4M,0.2452975528897548,0.015623279006526276
gov-ai,2,potion-base-8M,0.2452975528897548,0.015623279006526276
gov-ai,2,potion-multilingual-128M,0.5347386783299174,0.1034333073631631
gov-ai,2,snowflake-arctic-embed-l-v2.0,0.5785608264487127,0.11069350101123737
gov-ai,2,static-similarity-mrl-multilingual-v1,0.11339236660589982,0.009458537245977732
gov-ai,2,text-embedding-3-large,0.6740865385273409,0.15754475619561556
gov-ai,2,text-embedding-3-small,0.45431554151407244,0.18374783620712115
gov-ai,2,text-embedding-ada-002,0.4546240831537147,0.11761978853540078
gov-ai,2,tfidf-char35,0.6544165904318812,0.15389788431211895
gov-ai,2,xlm-roberta-base,0.11339236660589982,0.009458537245977732
gov-ai,2,xlm-roberta-large,0.11339236660589982,0.009458537245977732
gov-ai,9,EmbeddingGemma-Scandi-300m,0.6918813286342225,0.17965228589826143
gov-ai,9,LaBSE,0.5523850308672854,0.11984861227922623
gov-ai,9,M2V_base_glove,0.3665956774378064,0.02130681818181818
gov-ai,9,M2V_base_glove_subword,0.19339681062201597,-0.012341387102381366
gov-ai,9,M2V_base_output,0.3665956774378064,0.02130681818181818
gov-ai,9,Qwen3-Embedding-0.6B,0.32817777616627597,0.061371841155234655
