dataset,seed,user_id,statement_id,x_normalised,y_normalised
rai,21,D_coords,373,0.5841721624435959,0.17954070981210857
rai,17,A_coords,88,0.173217854763491,0.3299398426654327
rai,9,B_coords,870,0.4088304684866869,0.6900050735667174
rai,3,A_coords,60,0.09027777777777778,0.08824987605354487
rai,19,D_coords,190,0.24423076923076922,0.29747427502338636
rai,15,G_coords,393,0.5606641123882503,0.24676524953789278
rai,8,D_coords,360,0.5628899835796387,0.865606936416185
rai,1,D_coords,181,0.5900559762923938,0.33672974284327994
rai,29,B_coords,192,0.5076440611524892,0.7390882638215325
rai,11,B_coords,810,0.09118773946360154,0.5176684881602914
welfare,6,E_coords,1089,0.11018001241464928,0.6494708994708994
rai,23,A_coords,810,0.786395004929346,0.8237585199610516
rai,13,B_coords,510,0.6701099633455515,0.2548435171385991
welfare,6,E_coords,926,0.7175667287399131,0.4876543209876543
rai,24,D_coords,398,0.4464660601819454,0.2017102615694165
rai,7,E_coords,610,0.8611925708699902,0.9387755102040817
rai,7,A_coords,61,0.2704,0.6140186915887851
rai,25,D_coords,85,0.9487359550561798,0.787146529562982
welfare,28,H_coords,1195,0.495409724583475,0.29259259259259257
rai,6,G_coords,563,0.16010165184243966,0.8862433862433863
rai,6,G_coords,507,0.817979669631512,0.34700176366843033
welfare,9,G_coords,1041,0.6168188736681888,0.08072916666666667
rai,24,G_coords,704,0.5985477178423236,0.5245026686074721
rai,5,E_coords,620,0.7614528795811518,0.5663716814159292
welfare,5,B_coords,880,0.5233676975945017,0.7549212598425197
rai,18,G_coords,106,0.6384820239680427,0.8033254156769596
rai,24,D_coords,855,0.7830650804758572,0.20824949698189135
rai,19,E_coords,397,0.9275964391691395,0.07892416225749559
rai,22,A_coords,810,0.8736876640419947,0.4055813953488372
welfare,12,E_coords,1084,0.49384655669023303,0.5763358778625954
welfare,28,H_coords,1228,0.4287657259435566,0.6185185185185185
rai,19,D_coords,374,0.5951923076923077,0.5748362956033677
rai,24,D_coords,104,0.6487053883834849,0.11770623742454728
rai,20,A_coords,286,0.4013400335008375,0.5829338446788112
rai,8,G_coords,1077,0.26296409941699905,0.38668430335097004
rai,10,H_coords,121,0.5378416257883673,0.11278561011181332
welfare,1,H_coords,1248,0.2362934362934363,0.28334124347413386
rai,23,A_coords,622,0.42983897469602367,0.9011684518013632
rai,8,G_coords,981,0.26879410862227676,0.31040564373897706
rai,2,A_coords,656,0.5398601398601398,0.24594992636229748
welfare,12,D_coords,929,0.8227027027027027,0.6665297741273101
rai,17,A_coords,50,0.37341772151898733,0.9009717723276262
rai,21,G_coords,492,0.0625,0.5478944932901435
rai,14,E_coords,543,0.8401126408010012,0.3033860045146727
welfare,2,E_coords,1048,0.4471808165910564,0.6221466731423021
welfare,3,A_coords,1074,0.770774647887324,0.3017664376840039
welfare,12,E_coords,1176,0.09059963341188793,0.10801526717557251
rai,11,G_coords,195,0.3671798231247953,0.8397406206577119
rai,7,A_coords,510,0.50144,0.814018691588785
rai,1,D_coords,712,0.7573263088574251,0.6132945172246482
welfare,1,H_coords,966,0.14362934362934363,0.31134314190792595
welfare,3,H_coords,1176,0.6214309707759489,0.09653233364573571
rai,20,A_coords,679,0.688107202680067,0.5824544582933845
rai,0,H_coords,363,0.6409584425308873,0.47862407862407863
rai,11,B_coords,690,0.30395913154533843,0.35081967213114756
rai,8,D_coords,543,0.8998357963875205,0.6026011560693642
rai,4,D_coords,393,0.8862024500322373,0.7296795169530887
rai,8,G_coords,1045,0.8708192697146364,0.06393298059964726
rai,29,E_coords,111,0.7489060922248402,0.2636497786522381
rai,6,G_coords,770,0.12738246505717915,0.22310405643738976
rai,3,A_coords,748,0.2864583333333333,0.8215171046108082
welfare,9,D_coords,1195,0.7865546218487395,0.5491135601341639
welfare,10,A_coords,1009,0.7254441837076768,0.4294595887135342
rai,23,A_coords,796,0.36510023003614855,0.17721518987341772
rai,19,E_coords,706,0.5724035608308605,0.5908289241622575
welfare,27,G_coords,1240,0.14231824417009603,0.4214876033057851
welfare,7,B_coords,875,0.24616389160953314,0.4427083333333333
rai,5,D_coords,712,0.5725338491295938,0.2778561354019746
welfare,12,D_coords,1025,0.527027027027027,0.1650924024640657
